team1,team2,venue,toss_winner,toss_decision,winner,date
Namibia,Thailand,Forthill,Thailand,bat,Thailand,2019-09-01
Bangladesh,Papua New Guinea,Forthill,Papua New Guinea,field,Bangladesh,2019-09-02
Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,New Zealand,2019-09-03
Ireland,Thailand,Forthill,Ireland,field,Thailand,2019-09-03
Namibia,Netherlands,Lochlands,Namibia,bat,Netherlands,2019-09-03
Scotland,Bangladesh,Forthill,Scotland,field,Bangladesh,2019-09-03
Papua New Guinea,United States of America,Lochlands,United States of America,field,Papua New Guinea,2019-09-03
Bangladesh,Ireland,Forthill,Ireland,bat,Bangladesh,2019-09-05
Papua New Guinea,Thailand,Forthill,Papua New Guinea,bat,Thailand,2019-09-05
Scotland,Namibia,Lochlands,Scotland,field,Scotland,2019-09-05
Sri Lanka,New Zealand,Pallekele International Cricket Stadium,Sri Lanka,bat,Sri Lanka,2019-09-06
Namibia,United States of America,Lochlands,United States of America,field,United States of America,2019-09-07
Scotland,Netherlands,Lochlands,Netherlands,field,Scotland,2019-09-07
Ireland,Papua New Guinea,Forthill,Ireland,field,Ireland,2019-09-07
Rwanda,Nigeria,Gahanga International Cricket Stadium. Rwanda,Nigeria,bat,Rwanda,2019-09-07
Bangladesh,Thailand,Forthill,Bangladesh,bat,Bangladesh,2019-09-07
Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,2019-09-13
West Indies,Australia,"Kensington Oval, Barbados",West Indies,bat,Australia,2019-09-14
West Indies,Australia,"Kensington Oval, Barbados",Australia,field,Australia,2019-09-16
Netherlands,Scotland,"The Village, Malahide",Netherlands,field,Scotland,2019-09-16
Ireland,Scotland,"The Village, Malahide",Scotland,bat,Ireland,2019-09-17
Ireland,Netherlands,"The Village, Malahide",Ireland,bat,Netherlands,2019-09-18
India,South Africa,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,field,India,2019-09-18
West Indies,Australia,"Kensington Oval, Barbados",West Indies,bat,Australia,2019-09-18
Bangladesh,Zimbabwe,Zahur Ahmed Chowdhury Stadium,Zimbabwe,field,Bangladesh,2019-09-18
China,Hong Kong,Yeonhui Cricket Ground,Hong Kong,bat,Hong Kong,2019-09-19
South Korea,Japan,Yeonhui Cricket Ground,South Korea,field,Japan,2019-09-19
Netherlands,Scotland,"The Village, Malahide",Netherlands,bat,Scotland,2019-09-19
South Korea,China,Yeonhui Cricket Ground,South Korea,field,China,2019-09-20
Hong Kong,Japan,Yeonhui Cricket Ground,Hong Kong,bat,Japan,2019-09-20
India,South Africa,M.Chinnaswamy Stadium,India,bat,South Africa,2019-09-22
China,Hong Kong,Yeonhui Cricket Ground,Hong Kong,field,China,2019-09-22
India,South Africa,Lalabhai Contractor Stadium,South Africa,field,India,2019-09-24
Nepal,Zimbabwe,Indian Association Ground,Nepal,bat,Zimbabwe,2019-09-27
Singapore,Nepal,Indian Association Ground,Singapore,bat,Nepal,2019-09-28
Australia,Sri Lanka,North Sydney Oval,Australia,bat,Australia,2019-09-29
Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,Vanuatu,2019-09-29
Singapore,Zimbabwe,Indian Association Ground,Singapore,bat,Singapore,2019-09-29
Australia,Sri Lanka,North Sydney Oval,Sri Lanka,bat,Australia,2019-09-30
India,South Africa,Lalabhai Contractor Stadium,South Africa,field,India,2019-10-01
Nepal,Zimbabwe,Indian Association Ground,Nepal,field,Zimbabwe,2019-10-01
Malaysia,Vanuatu,Kinrara Academy Oval,Vanuatu,bat,Vanuatu,2019-10-01
Australia,Sri Lanka,North Sydney Oval,Australia,bat,Australia,2019-10-02
Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Malaysia,2019-10-02
India,South Africa,Lalabhai Contractor Stadium,India,field,India,2019-10-03
Singapore,Zimbabwe,Indian Association Ground,Zimbabwe,field,Zimbabwe,2019-10-03
Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Vanuatu,2019-10-03
Malaysia,Vanuatu,Kinrara Academy Oval,Malaysia,bat,Malaysia,2019-10-04
India,South Africa,Lalabhai Contractor Stadium,South Africa,bat,South Africa,2019-10-04
Pakistan,Sri Lanka,Gaddafi Stadium,Pakistan,field,Sri Lanka,2019-10-05
Ireland,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Ireland,2019-10-05
Hong Kong,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal,2019-10-06
Oman,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,field,Oman,2019-10-06
Nepal,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,Nepal,2019-10-07
Hong Kong,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,Ireland,2019-10-07
Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka,2019-10-07
Pakistan,Sri Lanka,Gaddafi Stadium,Sri Lanka,bat,Sri Lanka,2019-10-09
Ireland,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,bat,Ireland,2019-10-09
Oman,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,bat,Oman,2019-10-09
Hong Kong,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,Netherlands,2019-10-10
Oman,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2019-10-10
Scotland,Singapore,ICC Academy,Scotland,field,Singapore,2019-10-18
Hong Kong,Ireland,Sheikh Zayed Stadium,Hong Kong,bat,Ireland,2019-10-18
Kenya,Netherlands,ICC Academy,Netherlands,bat,Netherlands,2019-10-18
United Arab Emirates,Oman,Sheikh Zayed Stadium,Oman,field,Oman,2019-10-18
Bermuda,Papua New Guinea,ICC Academy,Papua New Guinea,field,Papua New Guinea,2019-10-19
Jersey,Nigeria,Sheikh Zayed Stadium,Jersey,bat,Jersey,2019-10-19
Namibia,Netherlands,ICC Academy,Netherlands,bat,Netherlands,2019-10-19
Kenya,Scotland,ICC Academy Ground No 2,Scotland,bat,Scotland,2019-10-19
United Arab Emirates,Ireland,Sheikh Zayed Stadium,United Arab Emirates,field,United Arab Emirates,2019-10-19
Bermuda,Singapore,ICC Academy Ground No 2,Bermuda,bat,Singapore,2019-10-20
Hong Kong,Oman,Sheikh Zayed Stadium,Oman,field,Oman,2019-10-20
Namibia,Papua New Guinea,ICC Academy Ground No 2,Papua New Guinea,bat,Papua New Guinea,2019-10-20
Canada,Jersey,Tolerance Oval,Jersey,field,Canada,2019-10-20
Ireland,Oman,Tolerance Oval,Oman,field,Ireland,2019-10-21
Papua New Guinea,Scotland,ICC Academy,Scotland,bat,Scotland,2019-10-21
United Arab Emirates,Hong Kong,Sheikh Zayed Stadium,Hong Kong,bat,United Arab Emirates,2019-10-21
Bermuda,Kenya,ICC Academy,Kenya,bat,Kenya,2019-10-21
Canada,Nigeria,Sheikh Zayed Stadium,Canada,bat,Canada,2019-10-21
Namibia,Scotland,ICC Academy,Namibia,bat,Namibia,2019-10-22
Netherlands,Singapore,ICC Academy,Singapore,bat,Netherlands,2019-10-22
United Arab Emirates,Jersey,Tolerance Oval,Jersey,bat,Jersey,2019-10-22
Bermuda,Namibia,ICC Academy Ground No 2,Namibia,field,Namibia,2019-10-23
Nigeria,Oman,Tolerance Oval,Nigeria,bat,Oman,2019-10-23
Kenya,Singapore,ICC Academy Ground No 2,Singapore,bat,Kenya,2019-10-23
Canada,Ireland,Sheikh Zayed Stadium,Canada,bat,Canada,2019-10-23
Hong Kong,Jersey,Sheikh Zayed Stadium,Hong Kong,bat,Hong Kong,2019-10-23
Canada,Hong Kong,Tolerance Oval,Hong Kong,bat,Hong Kong,2019-10-24
Netherlands,Papua New Guinea,ICC Academy,Netherlands,bat,Papua New Guinea,2019-10-24
Bermuda,Scotland,Dubai International Cricket Stadium,Bermuda,field,Scotland,2019-10-24
United Arab Emirates,Nigeria,Tolerance Oval,United Arab Emirates,field,United Arab Emirates,2019-10-24
Ireland,Jersey,Tolerance Oval,Ireland,field,Ireland,2019-10-25
Kenya,Namibia,Dubai International Cricket Stadium,Namibia,bat,Namibia,2019-10-25
Canada,Oman,Sheikh Zayed Stadium,Canada,bat,Oman,2019-10-25
Spain,Portugal,La Manga Club Bottom Ground,Spain,field,Spain,2019-10-25
Papua New Guinea,Singapore,Dubai International Cricket Stadium,Singapore,field,Papua New Guinea,2019-10-25
Ireland,Nigeria,Sheikh Zayed Stadium,Nigeria,bat,Ireland,2019-10-26
Bermuda,Netherlands,Dubai International Cricket Stadium,Netherlands,bat,Netherlands,2019-10-26
Namibia,Singapore,Dubai International Cricket Stadium,Singapore,field,Namibia,2019-10-26
Pakistan,Bangladesh,Gaddafi Stadium,Pakistan,bat,Pakistan,2019-10-26
Spain,Portugal,La Manga Club Bottom Ground,Portugal,field,Spain,2019-10-26
Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,Spain,2019-10-26
Gibraltar,Portugal,La Manga Club Bottom Ground,Gibraltar,bat,Portugal,2019-10-26
Hong Kong,Nigeria,Tolerance Oval,Nigeria,bat,Hong Kong,2019-10-27
Australia,Sri Lanka,Adelaide Oval,Sri Lanka,field,Australia,2019-10-27
Kenya,Papua New Guinea,Dubai International Cricket Stadium,Kenya,field,Papua New Guinea,2019-10-27
Netherlands,Scotland,Dubai International Cricket Stadium,Netherlands,field,Netherlands,2019-10-27
Jersey,Oman,Sheikh Zayed Stadium,Oman,field,Jersey,2019-10-27
United Arab Emirates,Canada,Sheikh Zayed Stadium,Canada,field,United Arab Emirates,2019-10-27
Spain,Gibraltar,La Manga Club Bottom Ground,Spain,field,Spain,2019-10-27
Namibia,Oman,Dubai International Cricket Stadium,Namibia,bat,Namibia,2019-10-29
United Arab Emirates,Netherlands,Dubai International Cricket Stadium,United Arab Emirates,bat,Netherlands,2019-10-29
Australia,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",Sri Lanka,bat,Australia,2019-10-30
Hong Kong,Oman,Dubai International Cricket Stadium,Oman,bat,Oman,2019-10-30
United Arab Emirates,Scotland,Dubai International Cricket Stadium,Scotland,bat,Scotland,2019-10-30
Oman,Scotland,ICC Academy,Oman,bat,Scotland,2019-10-31
Australia,Sri Lanka,Melbourne Cricket Ground,Australia,field,Australia,2019-11-01
New Zealand,England,Hagley Oval,England,field,England,2019-11-01
Ireland,Netherlands,Dubai International Cricket Stadium,Ireland,field,Netherlands,2019-11-01
Namibia,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,Papua New Guinea,2019-11-01
Netherlands,Papua New Guinea,Dubai International Cricket Stadium,Papua New Guinea,bat,Netherlands,2019-11-02
Ireland,Namibia,Dubai International Cricket Stadium,Ireland,bat,Ireland,2019-11-02
New Zealand,England,Westpac Stadium,England,field,New Zealand,2019-11-03
India,Bangladesh,Arun Jaitley Stadium,Bangladesh,field,Bangladesh,2019-11-03
New Zealand,England,Saxton Oval,New Zealand,bat,New Zealand,2019-11-05
Australia,Pakistan,Manuka Oval,Pakistan,bat,Australia,2019-11-05
India,Bangladesh,Saurashtra Cricket Association Stadium,India,field,India,2019-11-07
New Zealand,England,McLean Park,New Zealand,field,England,2019-11-08
Australia,Pakistan,Perth Stadium,Australia,field,Australia,2019-11-08
West Indies,India,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,field,India,2019-11-09
West Indies,India,"Darren Sammy National Cricket Stadium, St Lucia",West Indies,bat,India,2019-11-10
India,Bangladesh,"Vidarbha Cricket Association Stadium, Jamtha",Bangladesh,field,India,2019-11-10
West Indies,India,"Providence Stadium, Guyana",West Indies,bat,India,2019-11-14
West Indies,India,"Providence Stadium, Guyana",West Indies,field,India,2019-11-17
West Indies,India,"Providence Stadium, Guyana",India,bat,India,2019-11-20
Nepal,Maldives,Pokhara Rangasala,Maldives,bat,Nepal,2019-12-02
Nepal,Bangladesh,Pokhara Rangasala,Bangladesh,field,Bangladesh,2019-12-04
Bangladesh,Maldives,Pokhara Rangasala,Bangladesh,bat,Bangladesh,2019-12-05
Nepal,Bhutan,Tribhuvan University International Cricket Ground,Bhutan,field,Nepal,2019-12-05
Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,bat,Nepal,2019-12-06
India,West Indies,"Rajiv Gandhi International Stadium, Uppal",India,field,India,2019-12-06
Bhutan,Maldives,Tribhuvan University International Cricket Ground,Maldives,field,Maldives,2019-12-07
Nepal,Maldives,Pokhara Rangasala,Maldives,bat,Nepal,2019-12-07
India,West Indies,Greenfield International Stadium,West Indies,field,West Indies,2019-12-08
Nepal,Maldives,Tribhuvan University International Cricket Ground,Nepal,field,Nepal,2019-12-09
India,West Indies,Wankhede Stadium,West Indies,field,India,2019-12-11
England,Pakistan,Kinrara Academy Oval,Pakistan,field,England,2019-12-17
England,Pakistan,Kinrara Academy Oval,England,bat,England,2019-12-19
England,Pakistan,Kinrara Academy Oval,England,bat,England,2019-12-20
India,Sri Lanka,Holkar Cricket Stadium,India,field,India,2020-01-07
India,Sri Lanka,Maharashtra Cricket Association Stadium,Sri Lanka,field,India,2020-01-10
West Indies,Ireland,"National Cricket Stadium, Grenada",Ireland,bat,Ireland,2020-01-15
West Indies,Ireland,"Warner Park, St Kitts",West Indies,field,West Indies,2020-01-19
Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,Pakistan,2020-01-24
New Zealand,India,Eden Park,India,field,India,2020-01-24
Pakistan,Bangladesh,Gaddafi Stadium,Bangladesh,bat,Pakistan,2020-01-25
New Zealand,India,Eden Park,New Zealand,bat,India,2020-01-26
England,India,Manuka Oval,India,field,India,2020-01-31
Australia,India,Manuka Oval,Australia,field,Australia,2020-02-02
New Zealand,India,Bay Oval,India,bat,India,2020-02-02
New Zealand,South Africa,Bay Oval,New Zealand,field,New Zealand,2020-02-02
Oman,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Germany,2020-02-04
Oman,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Germany,2020-02-05
New Zealand,South Africa,Seddon Park,New Zealand,field,New Zealand,2020-02-06
England,India,Junction Oval,England,field,England,2020-02-07
Oman,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,bat,Germany,2020-02-07
Australia,India,Junction Oval,India,field,India,2020-02-08
Oman,Germany,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,bat,Germany,2020-02-08
New Zealand,South Africa,Basin Reserve,New Zealand,bat,South Africa,2020-02-09
Australia,England,Junction Oval,England,field,Australia,2020-02-09
New Zealand,South Africa,Basin Reserve,South Africa,field,New Zealand,2020-02-10
South Africa,England,Buffalo Park,England,field,South Africa,2020-02-12
Australia,India,Junction Oval,Australia,bat,Australia,2020-02-12
South Africa,England,Kingsmead,South Africa,field,England,2020-02-14
South Africa,England,SuperSport Park,South Africa,bat,England,2020-02-16
Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,2020-02-20
Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,2020-02-21
South Africa,Australia,The Wanderers Stadium,South Africa,field,Australia,2020-02-21
Australia,India,Sydney Showground Stadium,Australia,field,India,2020-02-21
New Zealand,Sri Lanka,W.A.C.A. Ground,New Zealand,field,New Zealand,2020-02-22
Thailand,West Indies,W.A.C.A. Ground,Thailand,bat,West Indies,2020-02-22
South Africa,Australia,St George's Park,South Africa,bat,South Africa,2020-02-23
England,South Africa,W.A.C.A. Ground,South Africa,field,South Africa,2020-02-23
Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,2020-02-23
Malaysia,Hong Kong,Kinrara Academy Oval,Malaysia,bat,Malaysia,2020-02-24
Australia,Sri Lanka,W.A.C.A. Ground,Sri Lanka,bat,Australia,2020-02-24
Bangladesh,India,W.A.C.A. Ground,Bangladesh,field,India,2020-02-24
Oman,Maldives,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,2020-02-25
Bahrain,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,bat,Bahrain,2020-02-25
Iran,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,Kuwait,2020-02-25
Saudi Arabia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,United Arab Emirates,2020-02-25
Malaysia,Hong Kong,Kinrara Academy Oval,Hong Kong,bat,Malaysia,2020-02-26
Qatar,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,bat,United Arab Emirates,2020-02-26
Kuwait,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,Kuwait,2020-02-26
Pakistan,West Indies,Manuka Oval,West Indies,bat,Pakistan,2020-02-26
England,Thailand,Manuka Oval,Thailand,field,England,2020-02-26
South Africa,Australia,Newlands,South Africa,field,Australia,2020-02-26
India,New Zealand,Junction Oval,New Zealand,field,India,2020-02-27
Australia,Bangladesh,Manuka Oval,Australia,bat,Australia,2020-02-27
Kuwait,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,field,United Arab Emirates,2020-02-27
South Africa,Thailand,Manuka Oval,South Africa,bat,South Africa,2020-02-28
England,Pakistan,Manuka Oval,Pakistan,field,England,2020-02-28
Thailand,Singapore,Terdthai Cricket Ground,Thailand,field,Singapore,2020-02-29
Bangladesh,New Zealand,Junction Oval,New Zealand,bat,New Zealand,2020-02-29
India,Sri Lanka,Junction Oval,Sri Lanka,bat,India,2020-02-29
Pakistan,South Africa,Sydney Showground Stadium,South Africa,bat,South Africa,2020-03-01
Thailand,Malaysia,Terdthai Cricket Ground,Thailand,bat,Malaysia,2020-03-01
England,West Indies,Sydney Showground Stadium,England,bat,England,2020-03-01
Hong Kong,Nepal,Terdthai Cricket Ground,Nepal,field,Hong Kong,2020-03-01
Australia,New Zealand,Junction Oval,New Zealand,field,Australia,2020-03-02
Bangladesh,Sri Lanka,Junction Oval,Bangladesh,bat,Sri Lanka,2020-03-02
Malaysia,Singapore,Terdthai Cricket Ground,Singapore,bat,Singapore,2020-03-03
Thailand,Hong Kong,Terdthai Cricket Ground,Thailand,bat,Hong Kong,2020-03-03
Hong Kong,Singapore,Terdthai Cricket Ground,Singapore,bat,Singapore,2020-03-04
Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,bat,West Indies,2020-03-04
Thailand,Nepal,Terdthai Cricket Ground,Thailand,bat,Nepal,2020-03-04
Australia,South Africa,Sydney Cricket Ground,South Africa,field,Australia,2020-03-05
Hong Kong,Malaysia,Terdthai Cricket Ground,Malaysia,bat,Hong Kong,2020-03-06
Sri Lanka,West Indies,Pallekele International Cricket Stadium,West Indies,field,West Indies,2020-03-06
Spain,Germany,Desert Springs Cricket Ground,Spain,field,Germany,2020-03-08
Spain,Germany,Desert Springs Cricket Ground,Spain,field,Spain,2020-03-08
Australia,India,Melbourne Cricket Ground,Australia,bat,Australia,2020-03-08
Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Zimbabwe,field,Bangladesh,2020-03-09
Bangladesh,Zimbabwe,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,Bangladesh,2020-03-11
Germany,Austria,"Seebarn Cricket Centre, Lower Austria",Austria,field,Germany,2020-08-12
Germany,Austria,Seebarn Cricket Centre,Germany,bat,Germany,2020-08-13
Austria,Germany,Seebarn Cricket Centre,Austria,bat,Germany,2020-08-13
Germany,Austria,Seebarn Cricket Centre,Germany,bat,Germany,2020-08-14
Germany,Austria,Seebarn Cricket Centre,Germany,bat,Germany,2020-08-15
Isle of Man,Guernsey,College Field,Isle of Man,bat,Guernsey,2020-08-21
Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,Belgium,2020-08-29
Belgium,Czech Republic,Pierre Werner Cricket Ground,Belgium,bat,Belgium,2020-08-30
Belgium,Luxembourg,Pierre Werner Cricket Ground,Belgium,bat,Belgium,2020-08-30
Pakistan,England,Old Trafford,England,field,England,2020-08-30
Pakistan,England,Old Trafford,England,field,Pakistan,2020-09-01
England,Australia,The Rose Bowl,Australia,field,England,2020-09-04
Australia,England,The Rose Bowl,Australia,bat,England,2020-09-06
England,Australia,The Rose Bowl,Australia,field,Australia,2020-09-08
England,West Indies,County Ground,England,bat,England,2020-09-21
England,West Indies,County Ground,West Indies,field,England,2020-09-23
Australia,New Zealand,Allan Border Field,New Zealand,field,Australia,2020-09-26
England,West Indies,County Ground,England,bat,England,2020-09-26
New Zealand,Australia,Allan Border Field,New Zealand,bat,Australia,2020-09-27
England,West Indies,County Ground,England,bat,England,2020-09-28
Australia,New Zealand,Allan Border Field,New Zealand,field,New Zealand,2020-09-30
West Indies,England,County Ground,England,field,England,2020-09-30
Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,Bulgaria,2020-10-16
Romania,Bulgaria,Moara Vlasiei Cricket Ground,Romania,bat,Romania,2020-10-17
Bulgaria,Romania,Moara Vlasiei Cricket Ground,Bulgaria,bat,Romania,2020-10-18
Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,Pakistan,2020-11-07
Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,Pakistan,2020-11-08
Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,bat,Pakistan,2020-11-10
West Indies,New Zealand,Eden Park,New Zealand,field,New Zealand,2020-11-27
South Africa,England,Newlands,England,field,England,2020-11-27
South Africa,England,Boland Park,England,field,England,2020-11-29
New Zealand,West Indies,Bay Oval,West Indies,field,New Zealand,2020-11-29
South Africa,England,Newlands,South Africa,bat,England,2020-12-01
India,Australia,Manuka Oval,Australia,field,India,2020-12-04
Australia,India,Sydney Cricket Ground,India,field,India,2020-12-06
Australia,India,Sydney Cricket Ground,India,field,Australia,2020-12-08
Pakistan,New Zealand,Eden Park,Pakistan,bat,New Zealand,2020-12-18
Pakistan,New Zealand,Seddon Park,Pakistan,bat,New Zealand,2020-12-20
New Zealand,Pakistan,McLean Park,Pakistan,field,Pakistan,2020-12-22
Pakistan,South Africa,Kingsmead,Pakistan,bat,South Africa,2021-01-29
South Africa,Pakistan,Kingsmead,Pakistan,field,South Africa,2021-01-31
Pakistan,South Africa,Kingsmead,South Africa,field,Pakistan,2021-02-03
Pakistan,South Africa,Gaddafi Stadium,South Africa,field,Pakistan,2021-02-11
Pakistan,South Africa,Gaddafi Stadium,South Africa,field,South Africa,2021-02-13
South Africa,Pakistan,Gaddafi Stadium,Pakistan,field,Pakistan,2021-02-14
New Zealand,Australia,Hagley Oval,Australia,field,New Zealand,2021-02-22
New Zealand,Australia,University Oval,Australia,field,New Zealand,2021-02-25
Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",West Indies,field,West Indies,2021-03-03
Australia,New Zealand,Westpac Stadium,New Zealand,field,Australia,2021-03-03
New Zealand,England,Westpac Stadium,England,field,England,2021-03-03
Australia,New Zealand,Westpac Stadium,Australia,bat,Australia,2021-03-05
New Zealand,England,Westpac Stadium,England,field,England,2021-03-05
Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,Sri Lanka,2021-03-05
England,New Zealand,Sky Stadium,New Zealand,field,England,2021-03-07
Sri Lanka,West Indies,"Coolidge Cricket Ground, Antigua",Sri Lanka,bat,West Indies,2021-03-07
Australia,New Zealand,Sky Stadium,Australia,bat,New Zealand,2021-03-07
India,England,Narendra Modi Stadium,England,field,England,2021-03-12
England,India,Narendra Modi Stadium,India,field,India,2021-03-14
India,England,Narendra Modi Stadium,England,field,England,2021-03-16
India,England,Narendra Modi Stadium,England,field,India,2021-03-18
India,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,South Africa,field,South Africa,2021-03-20
India,England,Narendra Modi Stadium,England,field,India,2021-03-20
India,South Africa,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,South Africa,field,South Africa,2021-03-21
South Africa,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,India,field,India,2021-03-23
New Zealand,Bangladesh,Seddon Park,New Zealand,bat,New Zealand,2021-03-28
New Zealand,Australia,Seddon Park,Australia,field,Australia,2021-03-28
New Zealand,Bangladesh,McLean Park,Bangladesh,field,New Zealand,2021-03-30
Australia,New Zealand,McLean Park,New Zealand,field,New Zealand,2021-03-30
New Zealand,Bangladesh,Eden Park,Bangladesh,field,New Zealand,2021-04-01
Uganda,Namibia,Wanderers,Uganda,bat,Namibia,2021-04-03
Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,2021-04-05
Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,Namibia,2021-04-05
South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",South Africa,bat,Pakistan,2021-04-10
Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",Pakistan,bat,South Africa,2021-04-12
South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,Pakistan,2021-04-14
South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,Pakistan,2021-04-16
Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal,2021-04-17
Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,Netherlands,2021-04-18
Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,Nepal,2021-04-19
Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,Netherlands,2021-04-20
Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,Pakistan,2021-04-21
Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,Nepal,2021-04-22
Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,Zimbabwe,2021-04-23
Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,Nepal,2021-04-24
Pakistan,Zimbabwe,Harare Sports Club,Pakistan,bat,Pakistan,2021-04-25
Luxembourg,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,Czech Republic,2021-05-21
Czech Republic,Luxembourg,"Scott Page Field, Vinor",Luxembourg,field,Luxembourg,2021-05-22
Austria,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,Austria,2021-05-22
Czech Republic,Austria,"Scott Page Field, Vinor",Czech Republic,bat,Austria,2021-05-23
Austria,Luxembourg,"Scott Page Field, Vinor",Austria,bat,Luxembourg,2021-05-23
Scotland,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Scotland,bat,Scotland,2021-05-24
Ireland,Scotland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,bat,Ireland,2021-05-25
Ireland,Scotland,"Civil Service Cricket Club, Stormont, Belfast",Ireland,bat,Ireland,2021-05-26
Scotland,Ireland,"Civil Service Cricket Club, Stormont, Belfast",Scotland,bat,Ireland,2021-05-27
Nigeria,Namibia,Gahanga International Cricket Stadium. Rwanda,Nigeria,bat,Namibia,2021-06-06
Botswana,Kenya,Gahanga International Cricket Stadium. Rwanda,Kenya,field,Kenya,2021-06-07
Namibia,Rwanda,Gahanga International Cricket Stadium. Rwanda,Rwanda,field,Namibia,2021-06-07
Namibia,Botswana,Gahanga International Cricket Stadium. Rwanda,Namibia,bat,Namibia,2021-06-08
